SPECIES	QUERY	SYMBOL
human	C20ORF117	SOGA1
human	IGSF2	CD101
mouse	IGSF2	Cd101
rat	IGSF2	Cd101
human	MLL3	KMT2C
mouse	MLL3	Kmt2c
human	TMEM118	RNFT2
mouse	TMEM118	Rnft2
rat	TMEM118	Rnft2
human	U2AF1	U2AF1
mouse	U2AF1	U2af1
rat	U2AF1	U2af1
human	C17ORF68	CTC1
human	C11ORF61	MSANTD2
human	PSCD1	CYTH1
mouse	PSCD1	Cyth1
rat	PSCD1	Cyth1
human	FAM96B	CIAO2B
mouse	FAM96B	Ciao2b
rat	FAM96B	Ciao2b
human	ZNF585A	ZNF585A
human	C16ORF42	TSR3
human	C16ORF79	BRICD5
human	C14ORF143	EFCAB11
human	RPL26L1	RPL26L1
mouse	RPL26L1	Rpl26-ps4
rat	RPL26L1	Rpl26-ps3
human	HDHD1A	PUDP
mouse	HDHD1A	Pudp
rat	HDHD1A	Pudp
human	KIAA0226	RUBCN
human	C3ORF19	CCDC174
human	C20ORF111	OSER1
human	TMEM99	TMEM99
human	ZNF333	ZNF333
human	HRSP12	RIDA
mouse	HRSP12	Rida
rat	HRSP12	Rida
human	C14ORF166	RTRAF
human	FAM100B	UBALD2
mouse	FAM100B	Ubald2
rat	FAM100B	Ubald2
mouse	ATP5J	Atp5j
human	ATP5J	ATP5PF
rat	ATP5J	Atp5pf
human	SFRS3	SRSF3
mouse	SFRS3	Srsf3
rat	SFRS3	Srsf3
human	ANKRD36	ANKRD36
mouse	ANKRD36	Ankrd36
rat	ANKRD36	Ankrd36
human	RAGE	MOK
human	RAGE	AGER
mouse	RAGE	Mok
mouse	RAGE	Ager
rat	RAGE	Ager
rat	RAGE	Mok
human	C12ORF49	C12orf49
mouse	MKL2	Mkl2
human	MKL2	MRTFB
rat	MKL2	Mrtfb
human	C16ORF63	FOPNL
human	MUC1	MUC1
mouse	MUC1	Muc1
rat	MUC1	Muc1
